Playlist A, Playlist B, Feature, Cosine Similarity
10,14,Danceability,0.71
10,15,Danceability,0.79
11,12,Danceability,0.66
11,13,Danceability,0.73
11,14,Danceability,0.71
11,15,Danceability,0.73
12,13,Danceability,0.90
12,14,Danceability,0.85
12,15,Danceability,0.73
13,14,Danceability,0.91
13,15,Danceability,0.74
14,15,Danceability,0.69
0,1,Energy,0.50
0,2,Energy,0.27
0,3,Energy,0.65
0,4,Energy,0.42
0,5,Energy,0.25
0,6,Energy,0.28
0,7,Energy,0.42
0,8,Energy,0.53
0,9,Energy,0.53
0,10,Energy,0.30
0,11,Energy,0.29
0,12,Energy,0.53
0,13,Energy,0.57
0,14,Energy,0.48
0,15,Energy,0.32
1,2,Energy,0.25
1,3,Energy,0.60
1,4,Energy,0.76
1,5,Energy,0.27
1,6,Energy,0.26
1,7,Energy,0.43
1,8,Energy,0.62
1,9,Energy,0.36
1,10,Energy,0.25
1,11,Energy,0.28
1,12,Energy,0.47
1,13,Energy,0.47
1,14,Energy,0.42
1,15,Energy,0.33
2,3,Energy,0.31
2,4,Energy,0.34
2,5,Energy,0.81
2,6,Energy,0.58
2,7,Energy,0.58
2,8,Energy,0.40
2,9,Energy,0.41
2,10,Energy,0.84
2,11,Energy,0.42
2,12,Energy,0.40
2,13,Energy,0.50
2,14,Energy,0.69
2,15,Energy,0.54
3,4,Energy,0.55
3,5,Energy,0.34
3,6,Energy,0.33
3,7,Energy,0.50
3,8,Energy,0.72
3,9,Energy,0.45
3,10,Energy,0.36
3,11,Energy,0.37
3,12,Energy,0.53
3,13,Energy,0.59
3,14,Energy,0.47
3,15,Energy,0.42
4,5,Energy,0.37
4,6,Energy,0.37
4,7,Energy,0.48
4,8,Energy,0.59
4,9,Energy,0.33
4,10,Energy,0.37
4,11,Energy,0.36
4,12,Energy,0.49
4,13,Energy,0.52
4,14,Energy,0.46
4,15,Energy,0.41
5,6,Energy,0.59
5,7,Energy,0.64
5,8,Energy,0.43
5,9,Energy,0.42
5,10,Energy,0.83
5,11,Energy,0.60
5,12,Energy,0.48
5,13,Energy,0.54
5,14,Energy,0.77
5,15,Energy,0.67
6,7,Energy,0.59
6,8,Energy,0.31
6,9,Energy,0.55
6,10,Energy,0.75
6,11,Energy,0.74
6,12,Energy,0.56
6,13,Energy,0.64
6,14,Energy,0.65
6,15,Energy,0.61
7,8,Energy,0.59
7,9,Energy,0.67
7,10,Energy,0.64
7,11,Energy,0.68
7,12,Energy,0.78
7,13,Energy,0.85
7,14,Energy,0.83
7,15,Energy,0.78
8,9,Energy,0.48
8,10,Energy,0.43
8,11,Energy,0.40
8,12,Energy,0.54
8,13,Energy,0.57
8,14,Energy,0.55
8,15,Energy,0.49
9,10,Energy,0.59
9,11,Energy,0.52
9,12,Energy,0.64
9,13,Energy,0.76
9,14,Energy,0.71
9,15,Energy,0.53
10,11,Energy,0.64
10,12,Energy,0.54
10,13,Energy,0.61
10,14,Energy,0.78
10,15,Energy,0.65
11,12,Energy,0.63
11,13,Energy,0.65
11,14,Energy,0.62
11,15,Energy,0.75
12,13,Energy,0.85
12,14,Energy,0.70
12,15,Energy,0.64
13,14,Energy,0.84
13,15,Energy,0.71
14,15,Energy,0.71
0,1,Key,0.51
0,2,Key,0.18
0,3,Key,0.60
0,4,Key,0.38
0,5,Key,0.24
0,6,Key,0.28
0,7,Key,0.53
0,8,Key,0.56
0,9,Key,0.60
0,10,Key,0.29
0,11,Key,0.35
0,12,Key,0.54
0,13,Key,0.46
0,14,Key,0.44
0,15,Key,0.37
1,2,Key,0.17
1,3,Key,0.47
1,4,Key,0.66
1,5,Key,0.22
1,6,Key,0.24
1,7,Key,0.39
1,8,Key,0.45
1,9,Key,0.42
1,10,Key,0.33
1,11,Key,0.35
1,12,Key,0.50
1,13,Key,0.36
1,14,Key,0.40
1,15,Key,0.22
2,3,Key,0.24
2,4,Key,0.16
2,5,Key,0.41
2,6,Key,0.51
2,7,Key,0.18
2,8,Key,0.20
2,9,Key,0.25
2,10,Key,0.34
2,11,Key,0.53
2,12,Key,0.42
2,13,Key,0.13
2,14,Key,0.31
2,15,Key,0.17
3,4,Key,0.53
3,5,Key,0.35
3,6,Key,0.40
3,7,Key,0.51
3,8,Key,0.56
3,9,Key,0.50
3,10,Key,0.50
3,11,Key,0.45
3,12,Key,0.52
3,13,Key,0.49
3,14,Key,0.46
3,15,Key,0.46
4,5,Key,0.23
4,6,Key,0.28
