Playlist A, Playlist B, Feature, Cosine Similarity
2,9,Mode,0.63
3,4,Mode,0.17
3,5,Mode,0.34
3,6,Mode,0.60
3,7,Mode,0.61
3,8,Mode,0.55
3,9,Mode,0.44
4,5,Mode,0.07
4,6,Mode,0.21
4,7,Mode,0.25
4,8,Mode,0.22
4,9,Mode,0.29
5,6,Mode,0.32
5,7,Mode,0.34
5,8,Mode,0.30
5,9,Mode,0.24
6,7,Mode,0.75
6,8,Mode,0.76
6,9,Mode,0.60
7,8,Mode,0.67
7,9,Mode,0.52
8,9,Mode,0.60
0,1,Speechiness,0.51
0,2,Speechiness,0.61
0,3,Speechiness,0.38
0,4,Speechiness,0.10
0,5,Speechiness,0.27
0,6,Speechiness,0.52
0,7,Speechiness,0.53
0,8,Speechiness,0.46
0,9,Speechiness,0.53
1,2,Speechiness,0.58
1,3,Speechiness,0.31
1,4,Speechiness,0.11
1,5,Speechiness,0.19
1,6,Speechiness,0.40
1,7,Speechiness,0.41
1,8,Speechiness,0.40
1,9,Speechiness,0.57
2,3,Speechiness,0.40
2,4,Speechiness,0.06
2,5,Speechiness,0.24
2,6,Speechiness,0.52
2,7,Speechiness,0.46
2,8,Speechiness,0.46
2,9,Speechiness,0.57
3,4,Speechiness,0.06
3,5,Speechiness,0.31
3,6,Speechiness,0.42
3,7,Speechiness,0.43
3,8,Speechiness,0.41
3,9,Speechiness,0.35
4,5,Speechiness,0.04
4,6,Speechiness,0.07
4,7,Speechiness,0.06
4,8,Speechiness,0.06
4,9,Speechiness,0.14
5,6,Speechiness,0.24
5,7,Speechiness,0.26
5,8,Speechiness,0.23
5,9,Speechiness,0.22
6,7,Speechiness,0.53
6,8,Speechiness,0.52
6,9,Speechiness,0.44
7,8,Speechiness,0.42
7,9,Speechiness,0.46
8,9,Speechiness,0.40
0,1,Acousticness,0.48
0,2,Acousticness,0.46
0,3,Acousticness,0.40
0,4,Acousticness,0.17
0,5,Acousticness,0.20
0,6,Acousticness,0.66
0,7,Acousticness,0.51
0,8,Acousticness,0.53
0,9,Acousticness,0.31
1,2,Acousticness,0.36
1,3,Acousticness,0.28
1,4,Acousticness,0.12
1,5,Acousticness,0.12
1,6,Acousticness,0.45
1,7,Acousticness,0.31
1,8,Acousticness,0.32
1,9,Acousticness,0.30
2,3,Acousticness,0.27
2,4,Acousticness,0.16
2,5,Acousticness,0.12
2,6,Acousticness,0.50
2,7,Acousticness,0.34
2,8,Acousticness,0.30
2,9,Acousticness,0.25
3,4,Acousticness,0.12
3,5,Acousticness,0.23
3,6,Acousticness,0.47
3,7,Acousticness,0.47
3,8,Acousticness,0.32
3,9,Acousticness,0.15
4,5,Acousticness,0.05
4,6,Acousticness,0.07
4,7,Acousticness,0.15
4,8,Acousticness,0.08
4,9,Acousticness,0.05
5,6,Acousticness,0.22
5,7,Acousticness,0.22
5,8,Acousticness,0.17
5,9,Acousticness,0.11
6,7,Acousticness,0.62
6,8,Acousticness,0.55
6,9,Acousticness,0.33
7,8,Acousticness,0.40
7,9,Acousticness,0.24
8,9,Acousticness,0.26
0,1,Instrumentalness,0.07
0,2,Instrumentalness,0.00
0,3,Instrumentalness,0.01
0,4,Instrumentalness,0.00
0,5,Instrumentalness,0.01
0,6,Instrumentalness,0.02
0,7,Instrumentalness,0.09
0,8,Instrumentalness,0.02
0,9,Instrumentalness,0.09
1,2,Instrumentalness,0.01
1,3,Instrumentalness,0.03
1,4,Instrumentalness,0.00
1,5,Instrumentalness,0.00
1,6,Instrumentalness,0.01
1,7,Instrumentalness,0.02
1,8,Instrumentalness,0.00
1,9,Instrumentalness,0.17
2,3,Instrumentalness,0.00
2,4,Instrumentalness,0.00
2,5,Instrumentalness,0.00
2,6,Instrumentalness,0.00
2,7,Instrumentalness,0.00
2,8,Instrumentalness,0.00
2,9,Instrumentalness,0.00
3,4,Instrumentalness,0.27
3,5,Instrumentalness,0.03
3,6,Instrumentalness,0.01
3,7,Instrumentalness,0.09
3,8,Instrumentalness,0.01
3,9,Instrumentalness,0.01
4,5,Instrumentalness,0.07
4,6,Instrumentalness,0.00
4,7,Instrumentalness,0.00
4,8,Instrumentalness,0.00
4,9,Instrumentalness,0.00
5,6,Instrumentalness,0.00
5,7,Instrumentalness,0.02
5,8,Instrumentalness,0.02
5,9,Instrumentalness,0.02
6,7,Instrumentalness,0.01
6,8,Instrumentalness,0.01
6,9,Instrumentalness,0.03
7,8,Instrumentalness,0.01
7,9,Instrumentalness,0.05
8,9,Instrumentalness,0.04
0,1,Liveness,0.52
0,2,Liveness,0.56
0,3,Liveness,0.42
0,4,Liveness,0.20
0,5,Liveness,0.24
0,6,Liveness,0.45
0,7,Liveness,0.51
0,8,Liveness,0.54
0,9,Liveness,0.50
1,2,Liveness,0.55
1,3,Liveness,0.41
1,4,Liveness,0.25
1,5,Liveness,0.21
1,6,Liveness,0.38
1,7,Liveness,0.48
1,8,Liveness,0.47
1,9,Liveness,0.62
2,3,Liveness,0.41
2,4,Liveness,0.18
2,5,Liveness,0.23
2,6,Liveness,0.43
2,7,Liveness,0.51
2,8,Liveness,0.55
2,9,Liveness,0.56
3,4,Liveness,0.12
3,5,Liveness,0.35
3,6,Liveness,0.47
3,7,Liveness,0.57
3,8,Liveness,0.44
3,9,Liveness,0.37
4,5,Liveness,0.08
4,6,Liveness,0.21
4,7,Liveness,0.15
4,8,Liveness,0.14
4,9,Liveness,0.21
5,6,Liveness,0.28
5,7,Liveness,0.32
5,8,Liveness,0.27
5,9,Liveness,0.21
6,7,Liveness,0.54
6,8,Liveness,0.51
6,9,Liveness,0.34
7,8,Liveness,0.53
7,9,Liveness,0.43
8,9,Liveness,0.43
0,1,Valence,0.80
0,2,Valence,0.80
0,3,Valence,0.62
0,4,Valence,0.22
0,5,Valence,0.36
0,6,Valence,0.71
0,7,Valence,0.69
0,8,Valence,0.78
0,9,Valence,0.72
1,2,Valence,0.79
1,3,Valence,0.57
1,4,Valence,0.32
1,5,Valence,0.30
1,6,Valence,0.67
1,7,Valence,0.63
1,8,Valence,0.69
1,9,Valence,0.79
2,3,Valence,0.57
2,4,Valence,0.31
2,5,Valence,0.32
2,6,Valence,0.67
2,7,Valence,0.63
2,8,Valence,0.72
2,9,Valence,0.72
3,4,Valence,0.18
3,5,Valence,0.47
3,6,Valence,0.65
3,7,Valence,0.72
3,8,Valence,0.65
3,9,Valence,0.53
4,5,Valence,0.10
4,6,Valence,0.25
4,7,Valence,0.16
4,8,Valence,0.21
4,9,Valence,0.36
5,6,Valence,0.36
5,7,Valence,0.40
5,8,Valence,0.36
5,9,Valence,0.28
6,7,Valence,0.71
6,8,Valence,0.77
6,9,Valence,0.61
7,8,Valence,0.69
7,9,Valence,0.57
8,9,Valence,0.65
0,1,Tempo,0.84
0,2,Tempo,0.91
0,3,Tempo,0.71
0,4,Tempo,0.27
0,5,Tempo,0.39
0,6,Tempo,0.85
0,7,Tempo,0.80
0,8,Tempo,0.90
0,9,Tempo,0.76
1,2,Tempo,0.87
1,3,Tempo,0.63
1,4,Tempo,0.31
1,5,Tempo,0.34
1,6,Tempo,0.74
1,7,Tempo,0.70
1,8,Tempo,0.80
1,9,Tempo,0.87
2,3,Tempo,0.68
2,4,Tempo,0.27
2,5,Tempo,0.37
2,6,Tempo,0.81
2,7,Tempo,0.77
2,8,Tempo,0.86
2,9,Tempo,0.80
3,4,Tempo,0.20
3,5,Tempo,0.52
3,6,Tempo,0.78
3,7,Tempo,0.84
3,8,Tempo,0.75
3,9,Tempo,0.58
4,5,Tempo,0.11
4,6,Tempo,0.26
4,7,Tempo,0.24
4,8,Tempo,0.24
4,9,Tempo,0.32
5,6,Tempo,0.43
5,7,Tempo,0.45
5,8,Tempo,0.41
5,9,Tempo,0.31
6,7,Tempo,0.87
6,8,Tempo,0.90
6,9,Tempo,0.68
7,8,Tempo,0.84
7,9,Tempo,0.64
8,9,Tempo,0.74
0,1,Time Signature,0.87
0,2,Time Signature,0.95
0,3,Time Signature,0.74
0,4,Time Signature,0.29
0,5,Time Signature,0.41
0,6,Time Signature,0.89
0,7,Time Signature,0.83
0,8,Time Signature,0.93
0,9,Time Signature,0.80
1,2,Time Signature,0.92
1,3,Time Signature,0.65
1,4,Time Signature,0.33
1,5,Time Signature,0.36
1,6,Time Signature,0.78
1,7,Time Signature,0.73
1,8,Time Signature,0.83
1,9,Time Signature,0.91
2,3,Time Signature,0.70
2,4,Time Signature,0.29
2,5,Time Signature,0.39
2,6,Time Signature,0.85
2,7,Time Signature,0.79
2,8,Time Signature,0.89
2,9,Time Signature,0.84
3,4,Time Signature,0.21
3,5,Time Signature,0.55
3,6,Time Signature,0.82
3,7,Time Signature,0.88
3,8,Time Signature,0.78
3,9,Time Signature,0.60
4,5,Time Signature,0.12
4,6,Time Signature,0.26
4,7,Time Signature,0.24
4,8,Time Signature,0.27
4,9,Time Signature,0.36
5,6,Time Signature,0.45
5,7,Time Signature,0.49
5,8,Time Signature,0.44
5,9,Time Signature,0.33
6,7,Time Signature,0.92
6,8,Time Signature,0.94
6,9,Time Signature,0.72
7,8,Time Signature,0.88
7,9,Time Signature,0.67
8,9,Time Signature,0.76
