Playlist A, Playlist B, Feature, Cosine Similarity
4,8,Acousticness,0.64
4,9,Acousticness,0.46
4,10,Acousticness,0.56
4,11,Acousticness,0.62
4,12,Acousticness,0.26
5,6,Acousticness,0.67
5,7,Acousticness,0.86
5,8,Acousticness,0.91
5,9,Acousticness,0.46
5,10,Acousticness,0.58
5,11,Acousticness,0.66
5,12,Acousticness,0.22
6,7,Acousticness,0.68
6,8,Acousticness,0.66
6,9,Acousticness,0.33
6,10,Acousticness,0.33
6,11,Acousticness,0.87
6,12,Acousticness,0.21
7,8,Acousticness,0.84
7,9,Acousticness,0.41
7,10,Acousticness,0.50
7,11,Acousticness,0.65
7,12,Acousticness,0.30
8,9,Acousticness,0.45
8,10,Acousticness,0.56
8,11,Acousticness,0.62
8,12,Acousticness,0.04
9,10,Acousticness,0.68
9,11,Acousticness,0.31
9,12,Acousticness,0.07
10,11,Acousticness,0.36
10,12,Acousticness,0.14
11,12,Acousticness,0.33
0,1,Instrumentalness,0.56
0,2,Instrumentalness,0.78
0,3,Instrumentalness,0.73
0,4,Instrumentalness,0.62
0,5,Instrumentalness,0.70
0,6,Instrumentalness,0.84
0,7,Instrumentalness,0.78
0,8,Instrumentalness,0.52
0,9,Instrumentalness,0.36
0,10,Instrumentalness,0.49
0,11,Instrumentalness,0.80
0,12,Instrumentalness,0.33
1,2,Instrumentalness,0.50
1,3,Instrumentalness,0.47
1,4,Instrumentalness,0.45
1,5,Instrumentalness,0.55
1,6,Instrumentalness,0.63
1,7,Instrumentalness,0.52
1,8,Instrumentalness,0.26
1,9,Instrumentalness,0.24
1,10,Instrumentalness,0.32
1,11,Instrumentalness,0.72
1,12,Instrumentalness,0.53
2,3,Instrumentalness,0.96
2,4,Instrumentalness,0.78
2,5,Instrumentalness,0.91
2,6,Instrumentalness,0.72
2,7,Instrumentalness,0.97
2,8,Instrumentalness,0.74
2,9,Instrumentalness,0.42
2,10,Instrumentalness,0.62
2,11,Instrumentalness,0.70
2,12,Instrumentalness,0.28
3,4,Instrumentalness,0.78
3,5,Instrumentalness,0.90
3,6,Instrumentalness,0.63
3,7,Instrumentalness,0.95
3,8,Instrumentalness,0.73
3,9,Instrumentalness,0.41
3,10,Instrumentalness,0.61
3,11,Instrumentalness,0.60
3,12,Instrumentalness,0.25
4,5,Instrumentalness,0.81
4,6,Instrumentalness,0.58
4,7,Instrumentalness,0.78
4,8,Instrumentalness,0.64
4,9,Instrumentalness,0.53
4,10,Instrumentalness,0.71
4,11,Instrumentalness,0.56
4,12,Instrumentalness,0.23
5,6,Instrumentalness,0.70
5,7,Instrumentalness,0.90
5,8,Instrumentalness,0.65
5,9,Instrumentalness,0.43
5,10,Instrumentalness,0.62
5,11,Instrumentalness,0.71
5,12,Instrumentalness,0.28
6,7,Instrumentalness,0.73
6,8,Instrumentalness,0.39
6,9,Instrumentalness,0.34
6,10,Instrumentalness,0.47
6,11,Instrumentalness,0.91
6,12,Instrumentalness,0.35
7,8,Instrumentalness,0.70
7,9,Instrumentalness,0.41
7,10,Instrumentalness,0.61
7,11,Instrumentalness,0.70
7,12,Instrumentalness,0.28
8,9,Instrumentalness,0.31
8,10,Instrumentalness,0.49
8,11,Instrumentalness,0.41
8,12,Instrumentalness,0.09
9,10,Instrumentalness,0.73
9,11,Instrumentalness,0.31
9,12,Instrumentalness,0.15
10,11,Instrumentalness,0.44
10,12,Instrumentalness,0.16
11,12,Instrumentalness,0.41
0,1,Liveness,0.58
0,2,Liveness,0.81
0,3,Liveness,0.51
0,4,Liveness,0.52
0,5,Liveness,0.68
0,6,Liveness,0.81
0,7,Liveness,0.58
0,8,Liveness,0.63
0,9,Liveness,0.43
0,10,Liveness,0.31
0,11,Liveness,0.83
0,12,Liveness,0.18
1,2,Liveness,0.61
1,3,Liveness,0.37
1,4,Liveness,0.24
1,5,Liveness,0.49
1,6,Liveness,0.66
1,7,Liveness,0.35
1,8,Liveness,0.42
1,9,Liveness,0.33
1,10,Liveness,0.21
1,11,Liveness,0.69
1,12,Liveness,0.31
2,3,Liveness,0.78
2,4,Liveness,0.61
2,5,Liveness,0.78
2,6,Liveness,0.73
2,7,Liveness,0.73
2,8,Liveness,0.68
2,9,Liveness,0.47
2,10,Liveness,0.40
2,11,Liveness,0.69
2,12,Liveness,0.22
3,4,Liveness,0.58
3,5,Liveness,0.70
3,6,Liveness,0.50
3,7,Liveness,0.59
3,8,Liveness,0.61
3,9,Liveness,0.43
3,10,Liveness,0.36
3,11,Liveness,0.50
3,12,Liveness,0.22
4,5,Liveness,0.66
4,6,Liveness,0.48
4,7,Liveness,0.58
4,8,Liveness,0.59
4,9,Liveness,0.49
4,10,Liveness,0.57
4,11,Liveness,0.51
4,12,Liveness,0.20
5,6,Liveness,0.73
5,7,Liveness,0.69
5,8,Liveness,0.78
5,9,Liveness,0.50
5,10,Liveness,0.46
5,11,Liveness,0.66
5,12,Liveness,0.25
6,7,Liveness,0.60
6,8,Liveness,0.67
6,9,Liveness,0.37
6,10,Liveness,0.32
6,11,Liveness,0.87
6,12,Liveness,0.44
7,8,Liveness,0.63
7,9,Liveness,0.40
7,10,Liveness,0.36
7,11,Liveness,0.62
7,12,Liveness,0.17
8,9,Liveness,0.50
8,10,Liveness,0.41
8,11,Liveness,0.65
8,12,Liveness,0.25
9,10,Liveness,0.57
9,11,Liveness,0.43
9,12,Liveness,0.10
10,11,Liveness,0.27
10,12,Liveness,0.09
11,12,Liveness,0.37
0,1,Valence,0.24
0,2,Valence,0.52
0,3,Valence,0.48
0,4,Valence,0.60
0,5,Valence,0.51
0,6,Valence,0.67
0,7,Valence,0.40
0,8,Valence,0.40
0,9,Valence,0.17
0,10,Valence,0.16
0,11,Valence,0.67
0,12,Valence,0.37
1,2,Valence,0.24
1,3,Valence,0.21
1,4,Valence,0.19
1,5,Valence,0.29
1,6,Valence,0.29
1,7,Valence,0.15
1,8,Valence,0.40
1,9,Valence,0.06
1,10,Valence,0.05
1,11,Valence,0.44
1,12,Valence,0.11
2,3,Valence,0.73
2,4,Valence,0.66
2,5,Valence,0.49
2,6,Valence,0.53
2,7,Valence,0.52
2,8,Valence,0.62
2,9,Valence,0.34
2,10,Valence,0.30
2,11,Valence,0.58
2,12,Valence,0.12
3,4,Valence,0.64
3,5,Valence,0.55
3,6,Valence,0.52
3,7,Valence,0.56
3,8,Valence,0.67
3,9,Valence,0.36
3,10,Valence,0.29
3,11,Valence,0.51
3,12,Valence,0.16
4,5,Valence,0.48
4,6,Valence,0.65
4,7,Valence,0.64
4,8,Valence,0.62
4,9,Valence,0.31
4,10,Valence,0.41
4,11,Valence,0.55
4,12,Valence,0.25
5,6,Valence,0.54
5,7,Valence,0.46
5,8,Valence,0.49
5,9,Valence,0.22
5,10,Valence,0.44
5,11,Valence,0.59
5,12,Valence,0.24
6,7,Valence,0.38
6,8,Valence,0.54
6,9,Valence,0.15
6,10,Valence,0.23
6,11,Valence,0.80
6,12,Valence,0.34
7,8,Valence,0.48
7,9,Valence,0.24
7,10,Valence,0.21
7,11,Valence,0.32
7,12,Valence,0.08
8,9,Valence,0.38
8,10,Valence,0.30
8,11,Valence,0.41
8,12,Valence,0.21
9,10,Valence,0.42
9,11,Valence,0.15
