Playlist A, Playlist B, Feature, Cosine Similarity
0,6,Speechiness,0.48
0,7,Speechiness,0.27
0,8,Speechiness,0.35
0,9,Speechiness,0.33
1,2,Speechiness,0.47
1,3,Speechiness,0.66
1,4,Speechiness,0.22
1,5,Speechiness,0.34
1,6,Speechiness,0.67
1,7,Speechiness,0.46
1,8,Speechiness,0.68
1,9,Speechiness,0.70
2,3,Speechiness,0.63
2,4,Speechiness,0.10
2,5,Speechiness,0.16
2,6,Speechiness,0.62
2,7,Speechiness,0.82
2,8,Speechiness,0.30
2,9,Speechiness,0.28
3,4,Speechiness,0.15
3,5,Speechiness,0.24
3,6,Speechiness,0.97
3,7,Speechiness,0.61
3,8,Speechiness,0.47
3,9,Speechiness,0.53
4,5,Speechiness,0.38
4,6,Speechiness,0.15
4,7,Speechiness,0.09
4,8,Speechiness,0.30
4,9,Speechiness,0.17
5,6,Speechiness,0.25
5,7,Speechiness,0.16
5,8,Speechiness,0.50
5,9,Speechiness,0.27
6,7,Speechiness,0.58
6,8,Speechiness,0.48
6,9,Speechiness,0.57
7,8,Speechiness,0.28
7,9,Speechiness,0.33
8,9,Speechiness,0.52
0,1,Acousticness,0.72
0,2,Acousticness,0.56
0,3,Acousticness,0.89
0,4,Acousticness,0.17
0,5,Acousticness,0.35
0,6,Acousticness,0.85
0,7,Acousticness,0.47
0,8,Acousticness,0.53
0,9,Acousticness,0.49
1,2,Acousticness,0.43
1,3,Acousticness,0.67
1,4,Acousticness,0.25
1,5,Acousticness,0.51
1,6,Acousticness,0.65
1,7,Acousticness,0.37
1,8,Acousticness,0.75
1,9,Acousticness,0.73
2,3,Acousticness,0.66
2,4,Acousticness,0.10
2,5,Acousticness,0.22
2,6,Acousticness,0.62
2,7,Acousticness,0.90
2,8,Acousticness,0.33
2,9,Acousticness,0.29
3,4,Acousticness,0.16
3,5,Acousticness,0.34
3,6,Acousticness,0.91
3,7,Acousticness,0.58
3,8,Acousticness,0.51
3,9,Acousticness,0.45
