Playlist A, Playlist B, Feature, Cosine Similarity
9,11,Danceability,0.68
9,12,Danceability,0.81
9,13,Danceability,0.33
9,14,Danceability,0.61
10,11,Danceability,0.89
10,12,Danceability,0.92
10,13,Danceability,0.45
10,14,Danceability,0.85
11,12,Danceability,0.83
11,13,Danceability,0.47
11,14,Danceability,0.88
12,13,Danceability,0.40
12,14,Danceability,0.75
13,14,Danceability,0.51
0,1,Energy,0.47
0,2,Energy,0.73
0,3,Energy,0.60
0,4,Energy,0.66
0,5,Energy,0.62
0,6,Energy,0.43
0,7,Energy,0.67
0,8,Energy,0.37
0,9,Energy,0.49
0,10,Energy,0.59
0,11,Energy,0.64
0,12,Energy,0.56
0,13,Energy,0.62
0,14,Energy,0.68
1,2,Energy,0.38
1,3,Energy,0.78
1,4,Energy,0.69
1,5,Energy,0.33
1,6,Energy,0.84
1,7,Energy,0.73
1,8,Energy,0.70
1,9,Energy,0.87
1,10,Energy,0.81
1,11,Energy,0.69
1,12,Energy,0.82
1,13,Energy,0.29
1,14,Energy,0.64
2,3,Energy,0.46
2,4,Energy,0.51
2,5,Energy,0.81
2,6,Energy,0.34
2,7,Energy,0.53
2,8,Energy,0.27
2,9,Energy,0.39
2,10,Energy,0.49
2,11,Energy,0.48
2,12,Energy,0.45
2,13,Energy,0.78
2,14,Energy,0.50
3,4,Energy,0.84
3,5,Energy,0.36
3,6,Energy,0.69
3,7,Energy,0.87
3,8,Energy,0.57
3,9,Energy,0.74
3,10,Energy,0.95
3,11,Energy,0.85
3,12,Energy,0.91
3,13,Energy,0.39
3,14,Energy,0.77
4,5,Energy,0.42
4,6,Energy,0.64
4,7,Energy,0.94
4,8,Energy,0.51
4,9,Energy,0.67
4,10,Energy,0.85
4,11,Energy,0.96
4,12,Energy,0.80
4,13,Energy,0.41
4,14,Energy,0.90
5,6,Energy,0.29
5,7,Energy,0.45
5,8,Energy,0.24
5,9,Energy,0.32
5,10,Energy,0.40
5,11,Energy,0.41
5,12,Energy,0.37
5,13,Energy,0.69
5,14,Energy,0.41
6,7,Energy,0.65
6,8,Energy,0.86
6,9,Energy,0.91
6,10,Energy,0.71
6,11,Energy,0.64
6,12,Energy,0.74
6,13,Energy,0.28
6,14,Energy,0.58
7,8,Energy,0.53
7,9,Energy,0.69
7,10,Energy,0.89
7,11,Energy,0.94
7,12,Energy,0.84
7,13,Energy,0.44
7,14,Energy,0.87
8,9,Energy,0.78
8,10,Energy,0.59
8,11,Energy,0.51
8,12,Energy,0.62
8,13,Energy,0.24
8,14,Energy,0.47
9,10,Energy,0.76
9,11,Energy,0.66
9,12,Energy,0.79
9,13,Energy,0.33
9,14,Energy,0.62
10,11,Energy,0.84
10,12,Energy,0.92
10,13,Energy,0.41
10,14,Energy,0.78
11,12,Energy,0.80
11,13,Energy,0.42
11,14,Energy,0.89
12,13,Energy,0.35
12,14,Energy,0.74
13,14,Energy,0.39
0,1,Key,0.30
0,2,Key,0.48
0,3,Key,0.39
0,4,Key,0.44
0,5,Key,0.37
0,6,Key,0.29
0,7,Key,0.53
0,8,Key,0.27
0,9,Key,0.31
0,10,Key,0.41
0,11,Key,0.41
0,12,Key,0.41
0,13,Key,0.34
0,14,Key,0.63
1,2,Key,0.31
1,3,Key,0.55
1,4,Key,0.52
1,5,Key,0.28
1,6,Key,0.62
1,7,Key,0.52
1,8,Key,0.53
1,9,Key,0.65
1,10,Key,0.54
1,11,Key,0.51
1,12,Key,0.63
1,13,Key,0.23
1,14,Key,0.47
2,3,Key,0.32
2,4,Key,0.26
2,5,Key,0.62
2,6,Key,0.27
2,7,Key,0.43
2,8,Key,0.25
2,9,Key,0.20
2,10,Key,0.29
2,11,Key,0.40
2,12,Key,0.28
2,13,Key,0.69
2,14,Key,0.42
3,4,Key,0.54
3,5,Key,0.23
3,6,Key,0.44
3,7,Key,0.57
3,8,Key,0.41
3,9,Key,0.53
3,10,Key,0.67
3,11,Key,0.52
3,12,Key,0.67
3,13,Key,0.25
3,14,Key,0.48
4,5,Key,0.18
4,6,Key,0.41
4,7,Key,0.67
4,8,Key,0.34
4,9,Key,0.44
4,10,Key,0.55
4,11,Key,0.65
4,12,Key,0.59
4,13,Key,0.14
4,14,Key,0.59
5,6,Key,0.23
5,7,Key,0.40
5,8,Key,0.20
5,9,Key,0.22
5,10,Key,0.26
5,11,Key,0.31
5,12,Key,0.30
5,13,Key,0.64
5,14,Key,0.37
6,7,Key,0.47
6,8,Key,0.57
6,9,Key,0.61
6,10,Key,0.47
6,11,Key,0.46
6,12,Key,0.50
6,13,Key,0.20
6,14,Key,0.44
7,8,Key,0.40
7,9,Key,0.54
7,10,Key,0.54
7,11,Key,0.64
7,12,Key,0.60
7,13,Key,0.35
7,14,Key,0.62
8,9,Key,0.59
8,10,Key,0.43
8,11,Key,0.38
8,12,Key,0.46
8,13,Key,0.21
8,14,Key,0.33
9,10,Key,0.47
9,11,Key,0.45
9,12,Key,0.58
9,13,Key,0.12
9,14,Key,0.42
10,11,Key,0.56
10,12,Key,0.69
10,13,Key,0.18
10,14,Key,0.58
11,12,Key,0.61
11,13,Key,0.33
11,14,Key,0.63
12,13,Key,0.19
12,14,Key,0.54
13,14,Key,0.30
0,1,Loudness,0.44
0,2,Loudness,0.63
0,3,Loudness,0.48
0,4,Loudness,0.57
0,5,Loudness,0.57
0,6,Loudness,0.43
0,7,Loudness,0.57
0,8,Loudness,0.39
0,9,Loudness,0.40
0,10,Loudness,0.37
0,11,Loudness,0.64
0,12,Loudness,0.54
0,13,Loudness,0.61
0,14,Loudness,0.72
1,2,Loudness,0.34
1,3,Loudness,0.65
1,4,Loudness,0.61
1,5,Loudness,0.27
1,6,Loudness,0.77
1,7,Loudness,0.65
1,8,Loudness,0.71
1,9,Loudness,0.78
1,10,Loudness,0.67
1,11,Loudness,0.60
1,12,Loudness,0.73
