artists,occurrence,freqency
"Saweetie,Jhené Aiko,City Girls",1,0.076923
"Kali Uchis,SZA",1,0.076923
"Rico Nasty",1,0.076923
"DeJ Loaf",1,0.076923
"Lil Nas X,Megan Thee Stallion",1,0.076923
"Mila J",1,0.076923
"Chloe x Halle,Doja Cat,City Girls,Latto",1,0.076923
"Megan Thee Stallion,Dua Lipa",1,0.076923
"Doja Cat,JID",1,0.076923
"Big Boss Vette",1,0.076923
"Ariana Grande,Future",1,0.076923
"Kevin Jz Prodigy",1,0.076923
"Beyoncé,Kendrick Lamar",1,0.076923
"BLACKPINK",3,0.230769
"Kesha,3OH!3",1,0.076923
"Victoria Monét",1,0.076923
"SNAP!",1,0.076923
"La Bouche",1,0.076923
"Edward Maya,Vika Jigulina",1,0.076923
"Nicki Minaj,Lil Uzi Vert",1,0.076923
"Dua Lipa,Angèle",1,0.076923
"Doja Cat,Nicki Minaj",1,0.076923
"Justin Bieber",1,0.076923
"Aliyah's Interlude",2,0.153846
"Taylor Swift,Kendrick Lamar",1,0.076923
"The Cardigans",2,0.153846
"RAYE,070 Shake",2,0.153846
"GloRilla",1,0.076923
"The Cheetah Girls",1,0.076923
"Elton John,Britney Spears",1,0.076923
"Nicki Minaj,Eminem",1,0.076923
"KAROL G",1,0.076923
"Migos,Nicki Minaj,Cardi B",1,0.076923
"The Weeknd",1,0.076923
"PARTYNEXTDOOR",1,0.076923
"Ariana Grande,Pharrell Williams",1,0.076923
"Cassie",1,0.076923
"Chase Atlantic",3,0.230769
"SyKo",1,0.076923
"BJ Lips,princess paparazzi",1,0.076923
"Britney Manson",1,0.076923
"lilster",3,0.230769
"Clairo",3,0.230769
"The Neighbourhood",11,0.846154
"Ari Abdul",1,0.076923
"d4vd",1,0.076923
"Jesse®",2,0.153846
"Dayglow",1,0.076923
"Arctic Monkeys",1,0.076923
"Precious Pepala",5,0.384615
"Beach Weather",1,0.076923
"PVRIS,070 Shake",1,0.076923
"ECÂF",1,0.076923
"Hotel Ugly",1,0.076923
"undefined",1,0.076923
"Ayla D'lyla,Miss Madeline",1,0.076923
"Studio Killers",1,0.076923
"The Aquadolls",1,0.076923
"Lily Allen",2,0.153846
"That Kid",1,0.076923
"Zella Day",3,0.230769
"Kylie Minogue",6,0.461538
"Coco & Clair Clair",5,0.384615
"FLETCHER,Hayley Kiyoko",1,0.076923
"Selena Gomez,A$AP Rocky",1,0.076923
"Rina Sawayama,Bree Runway",1,0.076923
"Sky Ferreira",2,0.153846
"Sohodolls",1,0.076923
"Samantha Ronson",1,0.076923
"Cute Is What We Aim For",1,0.076923
"mgk,WILLOW",1,0.076923
"Caroline Loveglow",1,0.076923
"Men I Trust",1,0.076923
"Lorde",2,0.153846
"The Weeknd,Lana Del Rey",1,0.076923
"Play",2,0.153846
"SIRLIFIS MG",1,0.076923
"SirLofi",1,0.076923
"Yumi Zouma",1,0.076923
"Geowulf",1,0.076923
"Alice Phoebe Lou",1,0.076923
"Caroline Rose",1,0.076923
"CHROMANCE,Marcus Layton",1,0.076923
"Phoebe Ryan",1,0.076923
"L'Impératrice",1,0.076923
"Tessa Violet",1,0.076923
"Grace Phipps",3,0.230769
"The Orion Experience,ORION,Linda XO",1,0.076923
"Tyga,Doja Cat",1,0.076923
"Jack Harlow",1,0.076923
"MARINA,Beach Bunny",1,0.076923
"EASHA",1,0.076923
"Blu DeTiger",2,0.153846
"TOPS",1,0.076923
"Zendaya",1,0.076923
"MIKA,Ariana Grande",1,0.076923
"Boys World",1,0.076923
"Chelsea Collins",1,0.076923
"Hayley Kiyoko",1,0.076923
"Jesse McCartney",1,0.076923
"DCS Lefty,Teddi Gold",1,0.076923
"Call Me Loop",1,0.076923
"Lindsay Lohan",2,0.153846
"Selena Gomez,Gucci Mane",1,0.076923
"Poppy",1,0.076923
"EMELINE",2,0.153846
"Gorillaz",1,0.076923
"Alice Chater",1,0.076923
"The Click Five",3,0.230769
"MIXIE",2,0.153846
"Halle Abadi",1,0.076923
"Em Beihold",1,0.076923
"Amaarae,Kali Uchis,MOLIY",1,0.076923
"Raffaella",2,0.153846
"Cascada",2,0.153846
"Josie and the Pussycats",1,0.076923
"Chrissy Chlapecka",1,0.076923
"Magdalena Bay",1,0.076923
"The Band CAMINO",1,0.076923
"April Start",1,0.076923
"PinkPantheress,Ice Spice",1,0.076923
"KAYE",1,0.076923
"Snow Wife",1,0.076923
"Virgin Miri",2,0.153846
"City Girl,tiffi",1,0.076923
"Holy Molly",1,0.076923
"Reneé Rapp,Megan Thee Stallion",1,0.076923
"Sia,Kylie Minogue",1,0.076923
"Suki Waterhouse",1,0.076923
"Doja Cat;SZA",1,0.076923
"Nancy Sinatra",1,0.076923
"The Muffs",1,0.076923
"Britney Spears;Tinashe",1,0.076923
"Ashley O",2,0.153846
"Gwen Stefani;Eve",1,0.076923
"Jill Sobule",1,0.076923
"BTS;Halsey",1,0.076923
"Emily Browning;Stuart Murdoch;Belle and Sebastian",1,0.076923
"The Wonders",1,0.076923
"The Beach Boys",2,0.153846
"Cass Elliot",1,0.076923
"Sixpence None The Richer",1,0.076923
"Sheryl Crow",1,0.076923
"Dua Lipa;BLACKPINK",1,0.076923
"Beyoncé;JAŸ-Z",2,0.153846
"The Pussycat Dolls;Busta Rhymes",1,0.076923
"Lana Del Rey;Stevie Nicks",1,0.076923
"Lady Gaga;Florence Welch",1,0.076923
"Glee Cast",6,0.461538
"Katy Perry;Snoop Dogg",1,0.076923
"Gwen Stefani;Akon",1,0.076923
"Sharpay Evans;Lucas Grabeel;Disney",1,0.076923
"The Weather Girls",1,0.076923
"Superchick",1,0.076923
"Fifth Harmony;Kid Ink",1,0.076923
"Annaleigh Ashford;Delta Nus;Dequina Moore;Laura Bell Bundy;Leslie Kritzer",1,0.076923
"Beyoncé;Sean Paul",1,0.076923
"Nelly Furtado;Timbaland",1,0.076923
"Fergie;Ludacris",1,0.076923
"Nelly;City Spud",1,0.076923
"Vanessa Carlton",1,0.076923
"Shakira",1,0.076923
"Cobra Starship;Leighton Meester",1,0.076923
"Taylor Dayne",1,0.076923
"Sara Paxton",1,0.076923
"Teitur",1,0.076923
"Courtney Jaye",1,0.076923
"Nikki Cleary",1,0.076923
"Naomi Scott",1,0.076923
"Robbie Williams",1,0.076923
"Donna Summer;Gigamesh",1,0.076923
"The Cure",1,0.076923
"Alphabeat",1,0.076923
"The Romantics",1,0.076923
"fun.;Janelle Monáe",1,0.076923
"Weezer",1,0.076923
"Katrina & The Waves",1,0.076923
"Doja Cat;Gucci Mane",1,0.076923
"Tal Bachman",1,0.076923
"The La's",1,0.076923
"Grace Mitchell",1,0.076923
"Fergie;will.i.am",1,0.076923
"DoM",1,0.076923
"Tavares",1,0.076923
"Donna Summer",1,0.076923
"The Undertones",1,0.076923
"Chaka Khan",1,0.076923
"I5",1,0.076923
"Kelly",1,0.076923
"Coco Jones",1,0.076923
"Nicki Minaj;Ice Spice;Aqua",1,0.076923
"KAROL G;Aldo Ranks",1,0.076923
"FIFTY FIFTY;Kaliii",1,0.076923
