artists,occurrence,freqency
"Sexyy Red,Nicki Minaj,Tay Keith",1,0.062500
"Gunna,Drake",1,0.062500
"Cochise",1,0.062500
"Tion Wayne,Russ Millions,ArrDee,E1 (3x3),ZT (3x3),Bugzy Malone,Buni,Fivio Foreign,Darkoo",1,0.062500
"Kaliii",1,0.062500
"NLE Choppa",1,0.062500
"DaBaby",1,0.062500
"Bastille",1,0.062500
"Pitbull,John Ryan",1,0.062500
"Katy Perry",1,0.062500
"Daft Punk",2,0.125000
"Ellie Goulding",1,0.062500
"Miley Cyrus",1,0.062500
"John Lennon",1,0.062500
"Alicia Keys",1,0.062500
"Nicki Minaj",1,0.062500
"The Kiboomers",1,0.062500
"Journey",1,0.062500
"Snoop Dogg,Pharrell Williams",1,0.062500
"Nelly",1,0.062500
"Azul Azul",1,0.062500
"George Clinton",1,0.062500
"Jessie J,Ariana Grande,Nicki Minaj",1,0.062500
"Crystal Castles",1,0.062500
"glwzbll",1,0.062500
"Molchat Doma",1,0.062500
"Unloved",1,0.062500
"The Beatles",1,0.062500
"Aerosmith",1,0.062500
"The Irrepressibles",1,0.062500
"The Chamber Orchestra Of London,Andrew Skeet",2,0.125000
"Sergei Prokofiev,Orchestra of the Royal Opera House, Covent Garden,Mark Ermler",1,0.062500
"iwilldiehere",1,0.062500
"Mark Bernes",1,0.062500
"ITG Studios",1,0.062500
"CorMill",1,0.062500
"Will Bates,Paul Haslinger",1,0.062500
"Ludwig van Beethoven,Wiener Philharmoniker,Sir Simon Rattle",2,0.125000
"Wolfgang Amadeus Mozart,Lisa Beckley,Elena Filipova,Magdaléna Hajóssyová,Peter Mikulas,Michel Piquemal,Gloria Scalchi,Michel Piquemal Vocal Ensemble,Hungarian State Opera Chorus,Oxford Schola Cantorum,Slovak Philharmonic Chorus,Hungarian State Opera Orchestra,Orchestre De La Cite,Oxford Camerata,Slovak Philharmonic",1,0.062500
"Tomaso Antonio Vitali,Jascha Heifetz,Richard Ellsasser",1,0.062500
"Igor Stravinsky,Royal Flemish Philharmonic,Philippe Herreweghe",1,0.062500
"Antonio Vivaldi,Julian Lloyd Webber,Jiaxin Lloyd Webber,European Union Chamber Orchestra,Hanspeter Hofmann",1,0.062500
"Frédéric Chopin,Janusz Olejniczak",1,0.062500
"Edward Elgar,Sir Colin Davis,London Symphony Orchestra",1,0.062500
"Johann Pachelbel,Sir Neville Marriner,Academy of St. Martin in the Fields",1,0.062500
"Remo Giazotto,Jean-Claude Malgoire,La Grande Écurie et la Chambre du Roy",1,0.062500
"Ernesto Cortazar",1,0.062500
"Peter Gundry",1,0.062500
