artists,occurrence,freqency
"Saweetie,Jhené Aiko,City Girls",1,0.022727
"Kali Uchis,SZA",1,0.022727
"Rico Nasty",1,0.022727
"DeJ Loaf",1,0.022727
"Lil Nas X,Megan Thee Stallion",1,0.022727
"Mila J",2,0.045455
"Chloe x Halle,Doja Cat,City Girls,Latto",1,0.022727
"Megan Thee Stallion,Dua Lipa",1,0.022727
"Doja Cat,JID",1,0.022727
"Big Boss Vette",1,0.022727
"Ariana Grande,Future",1,0.022727
"Kevin Jz Prodigy",1,0.022727
"Beyoncé,Kendrick Lamar",2,0.045455
"BLACKPINK",4,0.090909
"Kesha,3OH!3",2,0.045455
"Victoria Monét",1,0.022727
"SNAP!",1,0.022727
"La Bouche",1,0.022727
"Edward Maya,Vika Jigulina",2,0.045455
"Nicki Minaj,Lil Uzi Vert",1,0.022727
"Dua Lipa,Angèle",1,0.022727
"Doja Cat,Nicki Minaj",1,0.022727
"Justin Bieber",1,0.022727
"Aliyah's Interlude",3,0.068182
"Taylor Swift,Kendrick Lamar",2,0.045455
"The Cardigans",4,0.090909
"RAYE,070 Shake",2,0.045455
"GloRilla",1,0.022727
"The Cheetah Girls",1,0.022727
"Elton John,Britney Spears",1,0.022727
"Nicki Minaj,Eminem",1,0.022727
"KAROL G",1,0.022727
"Migos,Nicki Minaj,Cardi B",2,0.045455
"The Weeknd",3,0.068182
"PARTYNEXTDOOR",1,0.022727
"Ariana Grande,Pharrell Williams",1,0.022727
"Cassie",1,0.022727
"Chase Atlantic",3,0.068182
"SyKo",1,0.022727
"BJ Lips,princess paparazzi",1,0.022727
"Britney Manson",1,0.022727
"lilster",3,0.068182
"Clairo",3,0.068182
"The Neighbourhood",12,0.272727
"Ari Abdul",1,0.022727
"d4vd",1,0.022727
"Jesse®",2,0.045455
"Dayglow",1,0.022727
"Arctic Monkeys",5,0.113636
"Precious Pepala",5,0.113636
"Beach Weather",1,0.022727
"PVRIS,070 Shake",1,0.022727
"ECÂF",1,0.022727
"Hotel Ugly",1,0.022727
"undefined",2,0.045455
