artists,occurrence,freqency
"Kanye West,Chris Martin",4,0.016878
"T-Pain,Yung Joc",5,0.021097
"Tyga",4,0.016878
"Jeremih,YG",1,0.004219
"A$AP Ferg,French Montana,A$AP Rocky,Trinidad James,ScHoolboy Q",1,0.004219
"Kanye West,Big Sean,Pusha T,2 Chainz",2,0.008439
"A$AP Rocky,Drake,2 Chainz,Kendrick Lamar",3,0.012658
"YG,2 Chainz,Big Sean,Nicki Minaj",1,0.004219
"Lil Wayne,Drake,Future",3,0.012658
"Drake,Kanye West,Lil Wayne,Eminem",3,0.012658
"Lil Jon & The East Side Boyz,Ying Yang Twins",1,0.004219
"Juicy J,Lil Wayne,2 Chainz",1,0.004219
"Ty Dolla $ign,Joe Moses",1,0.004219
"Rich Homie Quan",1,0.004219
"French Montana,Rick Ross,Drake,Lil Wayne",1,0.004219
"K CAMP",1,0.004219
"Mura Masa,A$AP Rocky",3,0.012658
"Kid Ink,Chris Brown",2,0.008439
"Nicky Jam,J Balvin",1,0.004219
"Bad Bunny,Drake",3,0.012658
"Post Malone,Swae Lee,Nicky Jam,Prince Royce,G.O.K.B.",1,0.004219
"IShowSpeed",1,0.004219
"Foreign Reefy",1,0.004219
"B.o.B,2 Chainz",1,0.004219
"Boosie Badazz,Webbie,Foxx",1,0.004219
"Drake,21 Savage,Project Pat",2,0.008439
"YG,Drake,Kamaiyah",1,0.004219
"Elvis Crespo",1,0.004219
"Trey Songz,Nicki Minaj",1,0.004219
"Majestic,Boney M.",2,0.008439
"Ritmo Fuerte",1,0.004219
"Joel Corry,Jax Jones,Charli xcx,Saweetie",1,0.004219
"Syzz",1,0.004219
"David Guetta,Kid Cudi",5,0.021097
"Blac Youngsta",1,0.004219
"DJ Telly Tellz",1,0.004219
"Mustard,Quavo,YG",1,0.004219
"Konshens",1,0.004219
"Wizkid",1,0.004219
"T-Pain,B.o.B",2,0.008439
"Young Money,Drake",3,0.012658
"J-Kwon",1,0.004219
"Beyoncé,JAY-Z,Kanye West",1,0.004219
"T.I.",3,0.012658
"Wes Walker,Dyl",2,0.008439
"YoungBoy Never Broke Again",3,0.012658
"V.I.C.",1,0.004219
"Anuel AA,Daddy Yankee,KAROL G,J Balvin,Ozuna",1,0.004219
"DJ Snake,Selena Gomez,Ozuna,Cardi B",1,0.004219
"GAYLE",6,0.025316
"Mac Miller",9,0.037975
"Joel Corry,MNEK,Tiësto",1,0.004219
"Tiësto,Matthew Koma",5,0.021097
"Rihanna,Drake",8,0.033755
"USHER,will.i.am",5,0.021097
"DJ Khaled,T-Pain,Ludacris,Snoop Dogg,Rick Ross",2,0.008439
"Pitbull,AFROJACK,Ne-Yo,Nayer",6,0.025316
"Mustard,Migos",1,0.004219
"A$AP Ferg",2,0.008439
"Migos,Nicki Minaj,Cardi B",3,0.012658
"Calvin Harris,Pharrell Williams,Katy Perry,Big Sean",1,0.004219
"French Montana,Swae Lee",5,0.021097
"YFN Lucci,PnB Rock",2,0.008439
"Snoop Dogg,Wiz Khalifa,Bruno Mars",5,0.021097
"Bobby Shmurda",2,0.008439
"Sophie Ellis-Bextor",6,0.025316
"Drake,Sexyy Red,SZA",2,0.008439
"Sexyy Red",8,0.033755
"In A Hopeless Place",1,0.004219
"Doja Cat,SZA",8,0.033755
"Major Lazer,DJ Snake,MØ",2,0.008439
"Calvin Harris,Dua Lipa",4,0.016878
"LMFAO,Lauren Bennett,GoonRock",2,0.008439
"Rihanna,Calvin Harris",7,0.029536
"Pitbull,Kesha",8,0.033755
"USHER,Pitbull",11,0.046414
"Dua Lipa,DaBaby",6,0.025316
"Shouse,David Guetta",2,0.008439
