artists,occurrence,freqency
"Arcade Fire",1,0.066667
"Veeble",1,0.066667
"Bring Me The Horizon",1,0.066667
"COIN",1,0.066667
"Vance Joy",1,0.066667
"WALK THE MOON",2,0.133333
"Dominic Fike",4,0.266667
"Aminé",1,0.066667
"MIYAVI,Duckwrth",1,0.066667
"JVKE",1,0.066667
"Hailee Steinfeld,Anderson .Paak",1,0.066667
"Jamie Miller",1,0.066667
"The All-American Rejects",1,0.066667
"Neon Trees",1,0.066667
"almost monday",3,0.200000
"Two Friends,FITZ",1,0.066667
"Felix Hagan & the Family",1,0.066667
"Sub-Radio",1,0.066667
"Mac Miller,The Temper Trap",1,0.066667
"lovelytheband",1,0.066667
"Soft Cell",1,0.066667
"Counting Crows",1,0.066667
"Saint Motel",1,0.066667
"Childish Gambino",1,0.066667
"Jukebox The Ghost",1,0.066667
"Lit",1,0.066667
"Justice",2,0.133333
"Glass Animals",2,0.133333
"bbno$,Rich Brian",1,0.066667
"Glass Animals,iann dior",1,0.066667
"Gnarls Barkley",2,0.133333
"Baby Keem,Kendrick Lamar",1,0.066667
"THE DRIVER ERA",1,0.066667
"Tom Petty and the Heartbreakers",1,0.066667
"Thin Lizzy",1,0.066667
"Boston",1,0.066667
"The Monkees",1,0.066667
"The Black Keys",1,0.066667
"Caesars",1,0.066667
"Steve Miller Band",1,0.066667
"Clans",1,0.066667
"Earl St. Clair",1,0.066667
"Curtis Harding",1,0.066667
"Girl Talk",1,0.066667
"George Ezra",1,0.066667
"Chris James",1,0.066667
"Go-Jo",1,0.066667
"Post Malone",1,0.066667
"Jenna Raine",1,0.066667
"Dylan,Bastille",1,0.066667
"Ripe",1,0.066667
"Bastille",1,0.066667
"lovelytheband,blackbear",1,0.066667
"Mark Ambor",1,0.066667
"Waka Flocka Flame,Roscoe Dash,Wale",3,0.200000
"Tory Lanez,Trippie Redd,Yoko Gold",2,0.133333
"Baby Keem",1,0.066667
"Eurythmics,Annie Lennox,Dave Stewart",1,0.066667
"Des Rocs",1,0.066667
"The Struts,Kesha",1,0.066667
"Opia",1,0.066667
"Max Wassen",1,0.066667
"Hoku",2,0.133333
"Nirvana",3,0.200000
"Apollo Sunshine",1,0.066667
"Apparat,Soap&Skin",1,0.066667
"Madonna",5,0.333333
"Fever Ray",1,0.066667
"Fred Neil",1,0.066667
"Little Mix",1,0.066667
"Moby,Mimi Goese",1,0.066667
"Kim Petras",2,0.133333
"Nick Cave & The Bad Seeds",2,0.133333
"Carly Rae Jepsen",2,0.133333
"Nicki Minaj,Ice Spice,Aqua",6,0.400000
"Doja Cat",13,0.866667
"Fall Out Boy",1,0.066667
"Kanye West",7,0.466667
"Drew Seeley",1,0.066667
"Miley Cyrus",2,0.133333
"Dreamville,Bas,JID,Guapdad 4000,Reese LAFLARE,Jace,Mez,Smokepurpp,Buddy,Ski Mask The Slump God",1,0.066667
"Ed Sheeran",1,0.066667
"Jess Bays,Poppy Baskcomb",1,0.066667
"Bad Bunny",9,0.600000
"Tame Impala",2,0.133333
"J Balvin,Bad Bunny,Mr Eazi",1,0.066667
"JID,21 Savage,Baby Tate",1,0.066667
"Diplo,SIDEPIECE",2,0.133333
"ACRAZE,Cherish",1,0.066667
"Rockwell",1,0.066667
"Sisqo",1,0.066667
