playlist a,playlist b,common tracks, unique tracks
"beverly_hills_barbenheimer","3. millennial_nostalgia_road_trip",0,338
"beverly_hills_barbenheimer","12. road_trip (agustdlc)",1,395
"beverly_hills_barbenheimer","11. road_trip (darya)",0,165
"beverly_hills_barbenheimer","10. road_trip (kat)",1,358
"beverly_hills_barbenheimer","18. best_roadtrip_playlist_of_all_time",1,761
"beverly_hills_barbenheimer","6. road-trip (meghan)",0,287
"beverly_hills_barbenheimer","5. the_ultimate_roadtrip_playlist_ (Machine Gun Kevin)",1,379
"beverly_hills_barbenheimer","20. lets_go_girls_-_a_road_trip_playlist",2,152
"beverly_hills_barbenheimer","13. road_trip (Mackie)",0,451
"beverly_hills_barbenheimer","16. fun_road_trip_bangers",1,1314
"beverly_hills_barbenheimer","23. roadtrip_bangers",1,597
"beverly_hills_barbenheimer","14. road-trip (maleena)",0,491
"beverly_hills_barbenheimer","19. 2000s-2010s_roadtrip_songs",1,296
"beverly_hills_barbenheimer","17. 70s_80s_90s_road_trip_jams",0,234
"beverly_hills_barbenheimer","24. conic_songs_for_car_rides",1,294
"beverly_hills_barbenheimer","9. road_trip_jams",1,249
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer💅💣_Aobambi",6,149
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_Marianna",4,229
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","summer_of_barbenheimer",1,213
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_Dee&FromZimbabwe",0,156
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimerrr💕💥_daisyrain323&others",4,313
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_satiahatami",1,219
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_jsobo",1,357
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_Vanessasapinheiro&RennieKeller",8,281
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_JessicaKoebelMillen",8,224
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_MrMario",0,213
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_hoe_down",1,246
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_cody",4,149
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbenheimer_Sam Telford",17,172
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbie_but_its_the_end_of_the_movie_and_youre_sad",0,267
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbie_the_movie_vibes",2,209
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbie_playlist",2,181
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","im_a_barbie_girl_in_a_barbie_world_nicole<3",5,215
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbie_vibes_",3,202
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","what_was_i_made_for",0,186
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","girly_barbie_vibes_",1,190
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","im_a_barbie_girl_in_a_barbie_world_sukuna",6,479
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbie_can_you_play_ken",1,177
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","barbie_vibes",5,296
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","🌷🎀_Barbie_Vibes_🛼🌸",5,331
"💅🏻💥_barbenheimer_💥💅🏻_KatyaSaldana","what_was_i_made_for_type_of_sad",0,172
