tracks,occurrence,freqency
"That’s So True",5,0.192308
"Blowing Smoke",3,0.115385
"Let It Happen",3,0.115385
"Tough Love",4,0.153846
"Felt Good About You",2,0.076923
"Close To You",6,0.230769
"Free Now",3,0.115385
"OLD DAYS",1,0.038462
"Alley Rose",2,0.076923
"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)",3,0.115385
"cindy lou who",1,0.038462
"Higher Than Heaven",1,0.038462
"Mess It Up",3,0.115385
"21",2,0.076923
"seven",2,0.076923
"No One Noticed",1,0.038462
"Temptation",1,0.038462
"GGUM",1,0.038462
"Thinking Of Me",1,0.038462
"The Cut That Always Bleeds",3,0.115385
"Messy",4,0.153846
"BMF",1,0.038462
"drunk text me",1,0.038462
"Watercolor Eyes - From “Euphoria” An HBO Original Series",1,0.038462
"The Very First Night (Taylor's Version) (From The Vault)",1,0.038462
"My All",1,0.038462
"Conceited",2,0.076923
"Forty One Winks",1,0.038462
"0X1=LOVESONG (I Know I Love You) feat. Seori",1,0.038462
"Enchanted (Taylor's Version)",3,0.115385
"Peppers (feat. Tommy Genesis)",1,0.038462
"Training Wheels",2,0.076923
"Bad Reviews",3,0.115385
"15 Minutes",1,0.038462
"Scared Of Loving You",1,0.038462
"Couldn’t Make It Any Harder",1,0.038462
"Busy Woman",1,0.038462
"Too Much",1,0.038462
"Opening Sequence",1,0.038462
"Miracle",1,0.038462
"Call Me When You Break Up (with Gracie Abrams)",1,0.038462
"I’ll See You There Tomorrow",1,0.038462
"Deja Vu",2,0.076923
"The Killa (I Belong to You)",1,0.038462
"Quarter Life",1,0.038462
"Deja Vu (Anemoia Remix)",1,0.038462
"Farewell, Neverland",1,0.038462
"9 and Three Quarters (Run Away)",1,0.038462
"Poppin' Star",1,0.038462
"Roller Coaster",1,0.038462
"Lonely Boy (The tattoo on my ring finger)",1,0.038462
"Growing Pain",1,0.038462
"Dreamer",1,0.038462
"Deep Down",1,0.038462
"Blue Spring",1,0.038462
"Little Do You Know",1,0.038462
"gracie abrams thats so true live snl",1,0.038462
"Famous",2,0.076923
"Big Brown Eyes",1,0.038462
"En Privado",1,0.038462
"きっとずっと (Kitto Zutto)",1,0.038462
"i wish you cheated",1,0.038462
"Blue Hour",1,0.038462
"I miss you, I’m sorry",3,0.115385
"Ginza",1,0.038462
"Who’s Afraid of Little Old Me?",5,0.192308
"Ojos Tristes (with The Marías)",1,0.038462
"Sunset Blvd",1,0.038462
"LOVE AGAIN",2,0.076923
"Blind",2,0.076923
"Who Told You (feat. Drake)",1,0.038462
"Back On 74",3,0.115385
"jersey luv",1,0.038462
"nan",0,0.000000
"No One Knows",1,0.038462
"Deira",1,0.038462
"Horsepower",1,0.038462
"5am in Paris",1,0.038462
"From Gaza, With Love",1,0.038462
"Bésame Mucho",1,0.038462
"PERSIAN RUGS",2,0.076923
"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",1,0.038462
"senior",1,0.038462
"Galbi",1,0.038462
"yuhgetme?",1,0.038462
"Jimmy Choos",1,0.038462
"ON 10",1,0.038462
"FaceTime",1,0.038462
"On This Land",1,0.038462
"Forgive Me",1,0.038462
"Let Her Go",2,0.076923
"Allah Yihmeeki",1,0.038462
"Comme C’est Beau",1,0.038462
"stuck to you",1,0.038462
"Outside",3,0.115385
"Ain't No Love In Oklahoma (From Twisters: The Album)",2,0.076923
"Collabo",1,0.038462
"𝘠𝘚𝘓",1,0.038462
"Lies Lies Lies",1,0.038462
"Fever",1,0.038462
"F o r C e r t a i n",1,0.038462
"Long Way 2 Go",2,0.076923
"Hrs & Hrs",1,0.038462
"Dancing In The Flames",2,0.076923
"PASSENGER PRINCESS",1,0.038462
"Messi",1,0.038462
"I Want You",3,0.115385
"Paradise",9,0.346154
"Timeless (feat. Playboi Carti)",2,0.076923
"L o s e M y M i n d",1,0.038462
"Talk 2 U",1,0.038462
"Andréia",1,0.038462
"Name of God",1,0.038462
"Imaan",1,0.038462
"I'll Go Anywhere",1,0.038462
"july 16th",1,0.038462
"B.S. (feat. H.E.R.)",2,0.076923
"Her Eyes",1,0.038462
"Old Life",1,0.038462
"do it myself",1,0.038462
"Keep Moving",1,0.038462
"Busy Earnin'",1,0.038462
"MAYBE.",1,0.038462
"Aquamarine",1,0.038462
"I'm Afraid I Love You",1,0.038462
"In This Darkness",1,0.038462
"Questions",1,0.038462
"Hi chubs",1,0.038462
"On My Body",1,0.038462
"Wetin",1,0.038462
"Get Up (feat. Chamillionaire)",1,0.038462
"Diamond Boy (DTM)",1,0.038462
"PUSH 2 START",1,0.038462
"Persian Girl",1,0.038462
"Feel the Feels",1,0.038462
"HOT UPTOWN (feat. Drake)",1,0.038462
"TBH",2,0.076923
"Sweet Life",2,0.076923
"Used To Be Young",2,0.076923
"一翦梅",1,0.038462
"GOT IT GOOD",1,0.038462
"iBiZA",1,0.038462
"July",5,0.192308
"Money Pull Up",1,0.038462
"EXILE / معاكي",1,0.038462
"yes, and?",1,0.038462
"Keep Me Satisfied",1,0.038462
"NISSAN ALTIMA",1,0.038462
"Care",2,0.076923
"30 For 30 (with Kendrick Lamar)",1,0.038462
"Fountains (with Tems)",1,0.038462
"Killshot",1,0.038462
"Fly As Me",1,0.038462
"Smokin Out The Window",1,0.038462
"Put On A Smile",1,0.038462
"777",1,0.038462
"Skate",2,0.076923
"POOKIE’S REQUIEM (feat. Summer Walker) - hehe look y'all I made it longer",1,0.038462
"Boujee Babe",1,0.038462
"Last Heartbreak Song (feat. Giveon)",1,0.038462
"Alright",3,0.115385
"I Can't Wait To Get There",1,0.038462
"Sports car",3,0.115385
"TWENTIES",1,0.038462
"Dive",3,0.115385
"DIVA / بنت الذهبية",1,0.038462
"Doses & Mimosas",1,0.038462
"Problemz",1,0.038462
"MEET YOUR PADRE",3,0.115385
"DIE TRYING",1,0.038462
"World Goin' Crazy (feat. Jaz Karis)",1,0.038462
"Neshar Belel",1,0.038462
"NOKIA",2,0.076923
"Miss possessive",2,0.076923
"2 hands",3,0.115385
"Revolving door",2,0.076923
"Dear god",2,0.076923
"Purple lace bra",2,0.076923
"Signs",2,0.076923
"Like I do",2,0.076923
"It's ok I'm ok",4,0.153846
"No I'm not in love",2,0.076923
"Means I care",2,0.076923
"Greenlight",2,0.076923
"Nostalgia",2,0.076923
"bloodonmyhands (feat. Flo Milli)",2,0.076923
"LABOUR - the cacophony",1,0.038462
"Gucci Prada Balenciaga",1,0.038462
"Nobody",3,0.115385
"Charismatic",1,0.038462
"Waiting on You",1,0.038462
"Nouri",1,0.038462
"Not Like Us",2,0.076923
"Only Hope",2,0.076923
"Love",2,0.076923
"You Might Think - From Cars 2/Soundtrack Version",2,0.076923
"The Chain - 2004 Remaster",10,0.384615
"Die With A Smile",4,0.153846
"Feather",2,0.076923
"Shape of You",5,0.192308
"Paradise City",3,0.115385
"High Hopes",4,0.153846
"Picture To Burn",3,0.115385
"Uptown Funk (feat. Bruno Mars)",7,0.269231
"Life is a Highway",6,0.230769
"Kiss Tomorrow Goodbye",3,0.115385
"Undone - The Sweater Song",2,0.076923
"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)",4,0.153846
"E.V.I.L. B.O.Y.S.",2,0.076923
"New Romantics (Taylor's Version)",4,0.153846
"I Can Do It With a Broken Heart",4,0.153846
"California Love - Original Version",5,0.192308
"Death By A Thousand Cuts",3,0.115385
"luther (with sza)",3,0.115385
"NASA",4,0.153846
"Monsters",3,0.115385
"august",2,0.076923
"Soul",2,0.076923
"Story of My Life",7,0.269231
"Back In Black",4,0.153846
"Heart-Shaped Box",3,0.115385
"One Last Breath",4,0.153846
"long story short",3,0.115385
"How Far I'll Go",3,0.115385
"I'll Make a Man Out of You - From Mulan/Soundtrack",2,0.076923
"When Will My Life Begin? - From Tangled / Soundtrack Version",2,0.076923
"Hakuna Matata",3,0.115385
