tracks,occurrence,freqency
"this feeling (Slowed + Reverb)",1,0.062500
"After Dark Slowed - Slowed",1,0.062500
"Lay All Your Love on Me (Slowed and Reverb)",2,0.125000
"Suffer With Me",1,0.062500
"Never Let Go (Of Me) - Slowed",1,0.062500
"Bloody Mary (Refrain Dum Dum Da-Di-Da) - Remix",1,0.062500
"La Leçon Particulière - Slowed & Reverb",1,0.062500
"The Perfect Girl - The Motion Retrowave Remix",2,0.125000
"Kerosene (Slowed - Reverb)",1,0.062500
"Stop Crying Your Heart Out",1,0.062500
"Spot Holes 2",1,0.062500
"Resonance - Slowed & Reverb",1,0.062500
"Me and the Birds",1,0.062500
"You're My Heart, You're My Soul",1,0.062500
"Little Dark Age Slowed",1,0.062500
"L’Amour Impitoyable",1,0.062500
"Aleph - Slowed",1,0.062500
"Infinite Cloud",1,0.062500
"Across the Spider-Verse (Start a Band)",1,0.062500
"Genesis X Resonance X Not Allowed (Slowed + Reverb)",1,0.062500
"Memory Reboot",2,0.125000
"Kyrie",1,0.062500
"迷妄",1,0.062500
"Kingdom Of Predators (from Hunter × Hunter)",1,0.062500
"Rhinestone Eyes",1,0.062500
"The Prowler",1,0.062500
"Little Dark Age - Slowed",3,0.187500
"Metal Gear Solid Main Theme〜The World Needs Only One Big Boss!",1,0.062500
"Second Coming",1,0.062500
"Fahrradsattel",1,0.062500
"Полюшко-поле",1,0.062500
"Song of Plains",1,0.062500
"If the World Hates You (Dark Beach Super Slowed)",1,0.062500
"Kerosene - Slowed",1,0.062500
"The Last Viking",1,0.062500
"Requiem for a Tower Mvt. II (feat. Veigar Margeirsson)",1,0.062500
"Deutsche Nationalhymne (Deutschlandlied)",1,0.062500
"National Anthem of the Ussr",1,0.062500
"this feeling",1,0.062500
"rescue",1,0.062500
"Erika",1,0.062500
"Katyusha",1,0.062500
"L a y A l l Y o u r L o v e o n M e",1,0.062500
"Everybody Wants To Rule The World - Sped Up Version",1,0.062500
"Drip of The Japanese Emperor",1,0.062500
"Who Is She x The Perfect Girl",1,0.062500
"nothing breaks like a heart - slowed + reverb",1,0.062500
"Ww",1,0.062500
"Çökertme",1,0.062500
"Evil Morty Sad Theme (Orchestral Version) [from 'Rick and Morty' Season 5]",1,0.062500
"Molchat Doma - Dark Version",1,0.062500
"Always Forever",1,0.062500
"Touch",1,0.062500
"One",1,0.062500
"Aleph - Sped Up",1,0.062500
"Distractions",1,0.062500
"interstellar.",1,0.062500
"After Dark",2,0.125000
"End",1,0.062500
"Memory Reboot - Over Slowed",1,0.062500
"Star Shopping - Sped Up",1,0.062500
"• L’Art du savoir • - Slowed",1,0.062500
"Lost Memory",1,0.062500
"Sleepwalker - Slowed",2,0.125000
"Payitaht Abdülhamid Jenerik Müziği",1,0.062500
"Yalnız Hükümdar",1,0.062500
"The Descent",1,0.062500
"Black Vortex",1,0.062500
"METAMORPHOSIS",1,0.062500
"L'hymne national russe",1,0.062500
"Sonne",1,0.062500
"Sonne - TikTok Remix",1,0.062500
"The End of War",1,0.062500
"Rule The World",1,0.062500
"End of Beginning",1,0.062500
"Fainted - Slowed",1,0.062500
"First Love/Late Spring",1,0.062500
"The Apple (From The Imitation Game Soundtrack)",1,0.062500
"Between the Buttons",1,0.062500
"Hometown (intro)",1,0.062500
"Aleph",2,0.125000
"Idea 10",1,0.062500
"Oppenheimer Theme (Epic Version)",2,0.125000
"run run run (slowed + reverb)",1,0.062500
